recordedBy,eventDate,eventTime,decimalLatitude,decimalLongitude,verbatimElevation,coordinateUncertaintyInMeters,verbatimLocality,habitat,verbatimIdentification,individualCount,occurrenceID,occurrenceRemarks,associatedMedia,vernacularName,scientificName
"Anand, Uttara, Rohith Naniwadekar, Jahnavi joshi",09/03/2023,17:46:00+05:30,12.9277696,75.6489141,835.9607994,14.28499985,field_26,Grassland,Sloth_Bear,1,urn:ncf:arp:mammals:uuid:727df8a7-22a2-444a-9cc5-14f15bd2eef6:81,NA,NA,Sloth bear,Melursus ursinus
"Sanath, Ranjith, Rama Narayanan",12/03/2023,19:39:00+05:30,12.9117188,75.6597783,903.6885351,8,kdm_kt_road,Tea_Plantation,Brown_Palm_Civet,1,urn:ncf:arp:mammals:uuid:4d366f57-eb45-415b-a86c-dc19af58d885:82,NA,NA,Brown palm civet,Paradoxurus jerdoni
"Abhirami, Sanath, Rama",21/03/2023,19:15:00+05:30,12.9068576,75.6640733,906.6061766,6,sinnadorai,Tea_Plantation,Black_Naped_Hare,1,urn:ncf:arp:mammals:uuid:2f0a5be9-2006-4128-9552-057a0f54901a:83,NA,NA,Indian hare,Lepus nigricollis
Ranjith,30/03/2023,19:57:00+05:30,12.911685,75.659637,NA,1000,kdm_kt_road,Road,Sambar,1,urn:ncf:arp:mammals:uuid:ad5e4e0d-924b-4ba8-9521-075f0c146a31:84,NA,NA,Sambar,Rusa unicolor
Ranjith,31/03/2023,18:13:00+05:30,12.924288,75.663767,NA,1000,suzlon_tower,Grassland,Gaur,6,urn:ncf:arp:mammals:uuid:b71b411e-2d03-4b9c-a9ce-e051f165f3e8:85,NA,NA,Gaur,Bos gaurus
"Ranjith, Manu",02/04/2023,13:40:00+05:30,12.928473,75.650986,NA,1000,kt_vg_road,Rainforest,Monitor lizard,1,urn:ncf:arp:mammals:uuid:ff9fa865-1ff2-42bd-ac23-e250bf8d216c:86,NA,NA,Bengal monitor,Varanus bengalensis
"Vijay, Ranjith",03/04/2023,17:20:00+05:30,12.928473,75.650986,NA,1000,kt_vg_road,Road,rat_snake,1,urn:ncf:arp:mammals:uuid:065a2240-d15e-4b26-9d2e-81665ff0de73:87,NA,NA,Rat snake,Ptyas mucosa
"Vijay, Ranjith",03/04/2023,17:42:00+05:30,12.930922,75.646684,NA,500,field_27,Tea_Plantation,Barking_Deer,1,urn:ncf:arp:mammals:uuid:fa1ecb26-62b2-4de8-aad7-3098ca6d4f10:88,NA,NA,Indian muntjac,Muntiacus muntjac
"Vijay, Abhirami",12/04/2023,18:53:00+05:30,12.9104812,75.6603503,910,8,sinnadorai,Tea_Plantation,Sambar,1,urn:ncf:arp:mammals:uuid:5d5d867f-35c8-4d4f-ac3a-d7de078a4022:89,NA,NA,Sambar,Rusa unicolor
"Vijay, Abhirami, Gowtham",14/04/2023,10:14:00+05:30,12.9140836,75.6579346,868,9,kt_vg_road,Edge,Common_Mongoose,1,urn:ncf:arp:mammals:uuid:2d1e742c-a5af-4e9f-8b9c-af5b2332c999:90,NA,NA,Indian grey mongoose,Urva edwardsii
"Vijay Kumar, Vijay Karthick, Shivadass",26/05/2023,17:06:00+05:30,12.924288,75.663767,NA,1000,suzlon_tower,Grassland,Gaur,4,urn:ncf:arp:mammals:uuid:4c721c82-61c7-4e96-96f9-71fa4f4ea5ef:91,NA,NA,Gaur,Bos gaurus
"Vijay Kumar, Vijay Karthick",28/05/2023,20:40:00+05:30,12.907511,75.66409,NA,500,sinnadorai,Tea_Plantation,Black_Naped_Hare,1,urn:ncf:arp:mammals:uuid:80c664d6-6750-4144-813c-a53ad286e364:92,NA,NA,Indian hare,Lepus nigricollis
"Vijay Kumar, Vijay Karthick, Sanath",31/05/2023,19:01:00+05:30,12.907511,75.66409,NA,500,sinnadorai,Tea_Plantation,Black_Naped_Hare,2,urn:ncf:arp:mammals:uuid:96fd14d5-b194-416d-a7d2-299fcdf7c568:93,NA,NA,Indian hare,Lepus nigricollis
Vijay Karthick,31/05/2023,19:10:00+05:30,12.928473,75.650986,NA,1000,kt_vg_road,Tea_Plantation,Black_Naped_Hare,1,urn:ncf:arp:mammals:uuid:666696d1-d202-4798-808d-fa5fe50daff2:94,NA,NA,Indian hare,Lepus nigricollis
"Abhirami, Rama, Sanath and Ranjith",22/03/2023,19:45:00+05:30,12.9277814,75.6582936,851.6341118,8.755999565,vg_temple,Tea_Plantation,Sambar,1,urn:ncf:arp:mammals:uuid:f1b0af80-d013-452a-adaa-34bc6be3344a:95,NA,NA,Sambar,Rusa unicolor
"Manu, Abhirami",26/05/2023,12:24:00+05:30,12.89032,75.671407,NA,1000,abandoned_coffee,Road,Large_Brown_Flying_Squirrel,1,urn:ncf:arp:mammals:uuid:f35c3135-02a2-4bd5-9e7a-a9db953793b2:96,NA,NA,Large brown flying squirrel,Petaurista philippensis
Vijay Kumar,03/02/2023,09:06:00+05:30,12.919185,75.650272,NA,500,bungalow_mattam,Edge,Barking_Deer,1,urn:ncf:arp:mammals:uuid:df2bb6c1-0097-4811-a2ed-56976d26c6a4:97,NA,https://zenodo.org/record/13340613/files/1rQiWJf0WGt26NhZNL2V33Vr2TdjgrGXn.jpg,Indian muntjac,Muntiacus muntjac
"Vijay Kumar, Vijay Ramesh, Priyanka",02/04/2023,12:51:00+05:30,12.933265,75.670208,NA,500,mg_dam,Rainforest,Barking_Deer,1,urn:ncf:arp:mammals:uuid:a15a6c45-68ea-4b3b-a1cc-ed660275180b:98,NA,NA,Indian muntjac,Muntiacus muntjac
"Vijay Kumar, Abhirami, Vedika",08/04/2023,17:08:00+05:30,12.919809,75.671137,NA,500,agm_bungalow,Tea_Plantation,Barking_Deer,1,urn:ncf:arp:mammals:uuid:a50307f1-bbba-4341-a047-34dc30c6ff10:99,NA,NA,Indian muntjac,Muntiacus muntjac
"Vijay, Abhirami, Gowtham",14/04/2023,10:17:00+05:30,12.9114944,75.6595544,898,9.5,kt_vg_road,Tea_Plantation,Common_Langur,1,urn:ncf:arp:mammals:uuid:a71bbbac-c2e2-4f9a-bdad-dd5145403862:100,NA,NA,Black-footed gray langur,Semnopithecus hypoleucos
"Vijay Kumar, Vedika, Abhirami, Gowtham",14/04/2023,18:06:00+05:30,12.9277465,75.658616,859,14.75,vg_temple,Rainforest,Brown_Mongoose,1,urn:ncf:arp:mammals:uuid:17182232-cf52-4ecc-8537-86a6b4b0b3d3:101,NA,NA,Brown mongoose,Herpestes fuscus
Vijay Kumar,04/05/2023,10:57:00+05:30,12.928473,75.650986,NA,1000,kt_vg_road,Grassland,Gaur,3,urn:ncf:arp:mammals:uuid:139389e3-b5fa-44e8-bae9-b156378cd06f:102,NA,https://zenodo.org/record/13340613/files/1WV8nafAJnJbHoNBYT27Uh3aBcq9ZayDa.jpg,Gaur,Bos gaurus
"Vijay Kumar, Abhirami, Manu, kiran",06/05/2023,08:55:00+05:30,12.89454,75.655339,NA,1000,5_acre,Rainforest,Mouse_Deer,1,urn:ncf:arp:mammals:uuid:cf6f59a0-fc8e-4b33-8beb-51c5b7f7a2fd:103,NA,NA,Indian spotted chevrotain,Moschiola indica
"Vijay Kumar, Abhirami, Manu, Kiran",06/05/2023,10:10:00+05:30,12.89454,75.655339,NA,1000,5_acre,Rainforest,Nilgiri_striped_squirrel,1,urn:ncf:arp:mammals:uuid:10df782a-8ee6-4005-8816-c13db0f2a645:104,NA,NA,Nilgiri_striped_squirrel,Funambulus sublineatus
"Vijay Kumar, Abhirami",06/05/2023,17:07:00+05:30,12.933265,75.670208,NA,500,mg_dam,Edge,Brown_Mongoose,1,urn:ncf:arp:mammals:uuid:3e4118ba-f5ea-488d-8d7e-603d0b45ec78:105,NA,NA,Brown mongoose,Herpestes fuscus
"Vijay Kumar, Ranjith",17/05/2023,18:57:00+05:30,12.911993,75.65128,NA,500,kt_lines,Tea_Plantation,Black_Naped_Hare,1,urn:ncf:arp:mammals:uuid:b3132c96-538f-44c3-b7e2-6504a49cf4dc:106,NA,NA,Indian hare,Lepus nigricollis
"Vijay Kumar, Anand",19/05/2023,18:17:00+05:30,12.92794,75.648607,NA,500,field_26,Grassland,Gaur,18,urn:ncf:arp:mammals:uuid:2befb7c5-f6c1-4526-abc9-904db991c97c:107,"Observers:Vijay Kumar, Anand | timestamp:19May2023_18:23 | Total_count | Sighting | Grass land near mahagony patch with 3 calf",NA,Gaur,Bos gaurus
"Anand, Vijay kumar",03/06/2023,21:15:00+05:30,12.934909,75.724683,NA,1000,harley,Edge,Small_Indian_Civet,1,urn:ncf:arp:mammals:uuid:0bca7673-a2f7-43a2-86da-173a4c14e425:108,NA,NA,Small indian civet,Viverricula indica
"Sanath, Abhirami, Nitha, Vedika",23/06/2023,15:39:00+05:30,12.9120083,75.6584814,910.5656346,8,kt_vg_road,Road,Stripe_necked_Mongoose,1,urn:ncf:arp:mammals:uuid:30ff15da-8e07-4581-b1dd-ec93a12f6233:109,NA,NA,Stripe-necked mongoose,Herpestes vitticollis
"Sanath, Abhirami, Vijay Karthick",20/07/2023,19:17:00+05:30,12.909664,75.6616044,931.3511385,19.20000076,sinnadorai,Road,Small_Indian_Civet,1,urn:ncf:arp:mammals:uuid:90bf7614-7b30-4020-b2dd-37f1dbaa9179:110,NA,NA,Small indian civet,Viverricula indica
"Anand, Vidur, Dhruv, Abhirami, Vijay Kumar",26/08/2023,11:15:00+05:30,12.930922,75.646684,NA,500,field-27,Riverine,Barking_Deer,1,urn:ncf:arp:mammals:uuid:8a2a9a99-7382-4b98-9189-3c8f841b1841:111,NA,NA,Indian muntjac,Muntiacus muntjac
Vijay Kumar,09/09/2023,06:17:00+05:30,12.930922,75.646684,NA,500,field-27,Rainforest,Barking_Deer,1,urn:ncf:arp:mammals:uuid:2b6a4d97-1132-48b4-b9ad-0fc897b457e2:112,NA,NA,Indian muntjac,Muntiacus muntjac
"Vijay Kumar, Anand Osuri",01/07/2023,16:03:00+05:30,12.927662,75.658181,NA,1000,nursery,Rainforest,Brown_Mongoose,1,urn:ncf:arp:mammals:uuid:1a456ed0-04cc-4458-8de9-9b81b75ae99f:113,NA,NA,Brown mongoose,Herpestes fuscus
"Vijay Kumar, Manu",01/07/2023,17:27:00+05:30,12.919185,75.650272,NA,500,bungalow_mattam,Rainforest,Barking_Deer,1,urn:ncf:arp:mammals:uuid:6f54688e-f5e7-46c8-9b8c-e523f0d0b12a:114,NA,NA,Indian muntjac,Muntiacus muntjac
